stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Sachem\Desktop\studia\I rok\II semestr\6.Podstawy programowania 2\Podstawy programowania2-projekt [Kaczmarski]\Arkanoid-menu\allegro5.cfg r
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00119] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00123] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00311] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.03778] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.03868] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.03872] al_display=00000000010ba2d0
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.03874] al_display->vt=00000000010ba160
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04195] found 160 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.04199] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04201] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04203] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04204] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04205] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.04207] Score is : 726
